Issue Type,External ID,Epic Link,Summary,Description,Priority,Status,Labels,Components,Fix Version,Story Points
Epic,DED-E12,,DED-E12 Post-MVP roadmap,Deferred after v1.0-beta. Label post-v1.,Low,Backlog,post-v1,client,v1.1,
Story,DED-701,DED-E07,DED-701 BA Auth user stories guest vs account,Supabase account or controlled guest when AUTH_REQUIRED=false in dev.,Highest,Ready,"mvp-v1,role:ba",docs,v1.0-mvp-beta,3
Story,DED-702,DED-E07,DED-702 Dev Wire Supabase JWT lobby and Colyseus onAuth,RFC 006. apps/game-server/src/auth.guard.ts Colyseus onAuth.,Highest,To Do,"mvp-v1,role:dev",network,v1.0-mvp-beta,8
Story,DED-703,DED-E07,DED-703 Dev AUTH_REQUIRED true production path,Fail-fast production env. Guest fallback dev only.,Highest,To Do,"mvp-v1,role:dev",infra,v1.0-mvp-beta,5
Story,DED-704,DED-E07,DED-704 TL Threat model rate limit CORS room hijack,rate-limit.guard CORS_ORIGINS room code guessing mitigations.,Highest,To Do,"mvp-v1,role:tl",infra,v1.0-mvp-beta,5
Story,DED-705,DED-E07,DED-705 QA Negative JWT tests,Expired malformed wrong-audience tokens return 401.,Highest,To Do,"mvp-v1,role:qa",network,v1.0-mvp-beta,5
Story,DED-706,DED-E07,DED-706 PM Privacy policy game_rooms data retention,JSONB game_state retention deletion policy.,Highest,To Do,"mvp-v1,role:pm",docs,v1.0-mvp-beta,3
Story,DED-801,DED-E08,DED-801 Dev Production Docker hosting runbook,docker-compose.yml client.Dockerfile npm run docker:up. Production PaaS doc.,Highest,To Do,"mvp-v1,role:dev",infra,v1.0-mvp-beta,5
Story,DED-802,DED-E08,DED-802 Dev Env matrix client and game-server,.env.example .env.docker.example VITE_* SUPABASE_* AUTH_REQUIRED BOT_AI_URL.,Highest,To Do,"mvp-v1,role:dev",infra,v1.0-mvp-beta,3
Story,DED-804,DED-E08,DED-804 Dev Health checks lobby-api monitoring,Health endpoints log aggregation staging prod.,Highest,To Do,"mvp-v1,role:dev",infra,v1.0-mvp-beta,3
Story,DED-805,DED-E08,DED-805 QA Deployed stack smoke script,Solo local online staging. Health lobby Colyseus bot-ai.,Highest,To Do,"mvp-v1,role:qa",infra,v1.0-mvp-beta,5
Story,DED-806,DED-E08,DED-806 PM MVP launch checklist and rollback plan,Pre-launch checklist rollback incident contacts.,Highest,To Do,"mvp-v1,role:pm",docs,v1.0-mvp-beta,3
Story,DED-901,DED-E09,DED-901 QA Test plan solo 1-3 bots all difficulties,Solo bot difficulties heuristic fallback GAME_OVER.,Highest,Ready,"mvp-v1,role:qa",client,v1.0-mvp-beta,5
Story,DED-902,DED-E09,DED-902 QA Test plan local 2-4 tabs chair phase traps,Cross-tab chair phase traps masking LobbyRulesPanel ADVANCED.,Highest,Ready,"mvp-v1,role:qa",client,v1.0-mvp-beta,5
Story,DED-903,DED-E09,DED-903 QA Test plan online 2-4 devices disconnect,Colyseus ROOM_NOT_FOUND disconnect reconnect.,Highest,Ready,"mvp-v1,role:qa",network,v1.0-mvp-beta,5
Story,DED-904,DED-E09,DED-904 QA Rules fidelity matrix board_rules,STANDARD and ADVANCED rows in board_rules_13_ded.md 2-3-4 players.,Highest,Ready,"mvp-v1,role:qa",engine,v1.0-mvp-beta,8
Story,DED-905,DED-E09,DED-905 QA G01 visible rooting and masking,2p six each 3p four 4p three. No secretCharacterIds deal. twoPlayerVisibleRooting.,Highest,Ready,"mvp-v1,role:qa",engine,v1.0-mvp-beta,5
Story,DED-905b,DED-E09,DED-905b QA ADVANCED SECRET_PASSAGES EXTENDED_TRAP_DECK local,Local host enables modules. Passage teleports extended deck smoke.,Medium,Ready,"mvp-v1,role:qa",engine,v1.0-mvp-beta,5
Story,DED-906,DED-E09,DED-906 QA Accessibility pass HUD keyboard contrast,Keyboard dice hand. Contrast estate console.,Medium,To Do,"mvp-v1,role:qa",client,v1.0-mvp-beta,5
Story,DED-907,DED-E09,DED-907 QA Mobile touch layout smoke,Lobby HUD mobile viewport touch targets.,Medium,To Do,"mvp-v1,role:qa",client,v1.0-mvp-beta,3
Story,DED-909,DED-E09,DED-909 PM UAT sign-off template known issues,UAT template severity blocker major minor.,Highest,To Do,"mvp-v1,role:pm",docs,v1.0-mvp-beta,2
Story,DED-1001,DED-E10,DED-1001 BA Maintain G01 SRS engine traceability,G01_digital_multiplayer_srs.md to engine specs tests.,High,In Progress,"mvp-v1,role:ba",docs,v1.0-mvp-beta,5
Story,DED-1004,DED-E10,DED-1004 BA MVP scope doc in out v1.0-beta,In: solo local online auth deploy STANDARD rules. Out: 1313 online bot seats v1. ADVANCED local OK.,Highest,Ready,"mvp-v1,role:ba",docs,v1.0-mvp-beta,3
Story,DED-1005,DED-E10,DED-1005 PM Stakeholder demo script 15 min walkthrough,Lobby solo local ADVANCED rules trap win modal.,Medium,Ready,"mvp-v1,role:pm",docs,v1.0-mvp-beta,2
Story,DED-1101,DED-E11,DED-1101 PM MVP success metrics DAU session crash-free,Beta metrics sessions length crash-free feedback.,High,To Do,"mvp-v1,role:pm",docs,v1.0-mvp-beta,2
Story,DED-1102,DED-E11,DED-1102 PM IP legal review Hasbro adaptation,Independent adaptation not 1313 sequel. Counsel before beta.,Highest,To Do,"mvp-v1,role:pm",docs,v1.0-mvp-beta,5
Story,DED-1103,DED-E11,DED-1103 PM Beta invite and feedback channel,Beta invite Discord form GitHub issues.,High,To Do,"mvp-v1,role:pm",docs,v1.0-mvp-beta,2
Story,DED-1105,DED-E11,DED-1105 TL Technical debt register post-v1,RFC 007 open items online lobby rules custom house rules.,Medium,Ready,"mvp-v1,role:tl",docs,v1.0-mvp-beta,3
Story,DED-1201,DED-E12,DED-1201 Online bot seats BotTurnCoordinator lobby,Server bot turns online. Not in lobby UI v1.,Low,Backlog,"post-v1,role:dev",bot-ai,v1.1,13
Story,DED-1202,DED-E12,DED-1202 Reconnect hardening hand projection E2E,Reconnect resync filtered GameState E2E.,Low,Backlog,"post-v1,role:dev",network,v1.1,8
Story,DED-1203,DED-E12,DED-1203 Tutorial first-time UX,Onboarding rules movement traps portrait.,Low,Backlog,"post-v1,role:ba",client,v1.1,8
Story,DED-1204,DED-E12,DED-1204 Spectator and replay,Read-only observers event log replay.,Low,Backlog,"post-v1,role:dev",client,v1.1,13
Story,DED-1205,DED-E12,DED-1205 Accounts leaderboards tournaments,Persistent profiles stats bracketed play.,Low,Backlog,"post-v1,role:pm",docs,v1.1,21
Story,DED-1206,DED-E12,DED-1206 Custom house rule pack neutral module IDs,Awaiting product rules doc. RuleModuleId registration API.,Low,Backlog,"post-v1,role:ba",engine,v1.1,8
Story,DED-1207,DED-E12,DED-1207 Online lobby LobbyRulesPanel parity,Server create start ADVANCED toggles. RFC 007 open item.,Low,Backlog,"post-v1,role:dev",client,v1.1,5
Story,DED-1208,DED-E12,DED-1208 Solo ADVANCED rules profile-aware bot-ai,Solo host enables modules. Bot respects rule profile.,Low,Backlog,"post-v1,role:dev",bot-ai,v1.1,8
Story,DED-1209,DED-E12,DED-1209 PWA app store distribution,Installable web app or store packaging.,Low,Backlog,"post-v1,role:pm",infra,v1.1,8
Story,DED-1210,DED-E12,DED-1210 apps client Vite extraction RFC 006,Optional apps/client split from src/client.,Low,Backlog,"post-v1,role:tl",client,v1.1,8
Story,DED-1211,DED-E12,DED-1211 LLM bot strategy bot-ai llm.py,Wire LLM strategy when API keys available.,Low,Backlog,"post-v1,role:dev",bot-ai,v1.1,8
Story,DED-1212,DED-E12,DED-1212 E2E Playwright suite,Browser E2E lobby solo critical path CI.,Low,Backlog,"post-v1,role:qa",client,v1.1,13
Story,DED-1213,DED-E12,DED-1213 CANCELLED portrait SP as deck cards,Not in product. Portrait via doubles. Passages via SECRET_PASSAGES module.,Lowest,Done,post-v1,engine,v1.1,0
